sr_no,state,district,Total_Doses,First_Dose_Administered,Second_Dose,Male,Female,Transgender
667,Uttar Pradesh,Gautam Buddha Nagar,2445401,1691126,754275,1503019,941419,963
668,Uttar Pradesh,Ghaziabad,2761004,1999517,761487,1554503,1205331,1170
669,Uttar Pradesh,Ghazipur,1827719,1529764,297955,954185,871972,1562
670,Uttar Pradesh,Gonda,1824718,1471520,353198,964143,859938,637
671,Uttar Pradesh,Gorakhpur,2645188,2074771,570417,1371374,1272355,1459
672,Uttar Pradesh,Hamirpur,620518,504111,116407,334321,286073,124
673,Uttar Pradesh,Hapur,758315,587617,170698,405860,352252,203
674,Uttar Pradesh,Hardoi,1925703,1658249,267454,1042588,882777,338
675,Uttar Pradesh,Hathras,788867,637021,151846,419068,369582,217
676,Uttar Pradesh,Jalaun,893935,735137,158798,479114,414570,251
677,Uttar Pradesh,Jaunpur,2312924,1912514,400410,1159202,1151842,1880
678,Uttar Pradesh,Jhansi,1238885,999656,239229,666590,571857,438
679,Uttar Pradesh,Kannauj,778889,658676,120213,430781,347879,229
680,Uttar Pradesh,Kanpur Dehat,914437,767996,146441,495417,418760,260
681,Uttar Pradesh,Kanpur Nagar,2506246,1898407,607839,1361510,1143936,800
682,Uttar Pradesh,Kasganj,647067,557782,89285,352130,294818,119
683,Uttar Pradesh,Kaushambi,732575,615777,116798,386236,346219,120
684,Uttar Pradesh,Kushinagar,1757014,1477837,279177,912714,842957,1343
685,Uttar Pradesh,Lakhimpur Kheri,1771540,1561755,209785,998711,771077,1752
686,Uttar Pradesh,Lalitpur,645843,564776,81067,350344,295161,338
687,Uttar Pradesh,Lucknow,3792267,2679500,1112767,2094851,1695786,1630
688,Uttar Pradesh,Maharajganj,1320979,1103181,217798,683270,637033,676
689,Uttar Pradesh,Mahoba,510631,411047,99584,276557,233927,147
690,Uttar Pradesh,Mainpuri,857885,746864,111021,470069,387559,257
691,Uttar Pradesh,Mathura,1393091,1091566,301525,776167,616498,426
692,Uttar Pradesh,Mau,1101881,907355,194526,578845,522187,849
693,Uttar Pradesh,Meerut,2279956,1641580,638376,1224451,1054735,770
694,Uttar Pradesh,Mirzapur,1460701,1184053,276648,768284,691967,450
695,Uttar Pradesh,Moradabad,1475650,1170319,305331,808361,666726,563
696,Uttar Pradesh,Muzaffarnagar,1453386,1158365,295021,782355,670629,402
697,Uttar Pradesh,Pilibhit,1042634,876037,166597,576478,465856,300
698,Uttar Pradesh,Pratapgarh,1547915,1290611,257304,772142,775114,659
699,Uttar Pradesh,Prayagraj,2725457,2156237,569220,1501794,1222424,1239
700,Uttar Pradesh,Rae Bareli,1373586,1211295,162291,697562,675714,310
701,Uttar Pradesh,Rampur,994356,843915,150441,546507,447558,291
702,Uttar Pradesh,Saharanpur,1884050,1474845,409205,1016012,867293,745
703,Uttar Pradesh,Sambhal,853054,733488,119566,469901,383019,134
704,Uttar Pradesh,Sant Kabir Nagar,762292,653643,108649,387073,374293,926
705,Uttar Pradesh,Shahjahanpur,1512462,1284893,227569,852124,659966,372
706,Uttar Pradesh,Shamli,656466,522311,134155,361112,295015,339
707,Uttar Pradesh,Shrawasti,577275,471078,106197,317316,259858,101
708,Uttar Pradesh,Siddharthnagar,1337259,1085191,252068,700124,636847,288
709,Uttar Pradesh,Sitapur,2063216,1797927,265289,1130797,931788,631
710,Uttar Pradesh,Sonbhadra,831800,683866,147934,459251,372376,173
711,Uttar Pradesh,Sultanpur,1265297,1029812,235485,633875,630734,688
712,Uttar Pradesh,Unnao,1570061,1332468,237593,816991,752694,376
713,Uttar Pradesh,Varanasi,2433985,1839484,594501,1343564,1089287,1134
714,Uttarakhand,Almora,554885,374430,180455,250662,304033,190
715,Uttarakhand,Bageshwar,284942,181661,103281,131751,153094,97
716,Uttarakhand,Chamoli,419807,268752,151055,205352,214254,201
717,Uttarakhand,Champawat,273520,180115,93405,134314,139093,113
718,Uttarakhand,Dehradun,2106748,1437673,669075,1104482,1001470,796
719,Uttarakhand,Haridwar,1891573,1432468,459105,1060529,830538,506
720,Uttarakhand,Nainital,1049309,710774,338535,535077,513721,511
721,Uttarakhand,Pauri Garhwal,617804,422703,195101,291652,325912,240
722,Uttarakhand,Pithoragarh,457001,312181,144820,218959,237825,217
723,Uttarakhand,Rudraprayag,257256,168800,88456,118584,138569,103
724,Uttarakhand,Tehri Garhwal,538896,371864,167032,252612,285971,313
725,Uttarakhand,Udham Singh Nagar,1648529,1259333,389196,898927,749040,562
726,Uttarakhand,Uttarkashi,356561,230640,125921,180371,176083,107
727,West Bengal,Alipurduar,962826,689118,273708,470632,492041,153
728,West Bengal,Bankura,1297718,943834,353884,629730,667830,158
729,West Bengal,North 24 Parganas,1266587,889049,377538,648202,618222,163
730,West Bengal,Birbhum,1469879,1091883,377996,746100,723535,244
731,West Bengal,Bankura,640670,474385,166285,316626,324002,42
732,West Bengal,Cooch Behar,1370461,1015862,354599,716960,653330,171
734,West Bengal,Dakshin Dinajpur,1079444,800860,278584,543968,535244,232
735,West Bengal,Darjeeling,1695671,1210323,485348,852591,842594,486
736,West Bengal,South 24 Parganas,1885489,1342895,542594,957555,927652,282
737,West Bengal,Purba Bardhaman,2365026,1662034,702992,1174063,1190629,334
738,West Bengal,Hooghly,3294205,2241937,1052268,1664867,1628840,498
739,West Bengal,Howrah,2937136,2019231,917905,1567197,1369450,489
740,West Bengal,Jalpaiguri,1120718,832679,288039,521051,599447,220
741,West Bengal,Jhargram,666577,515252,151325,335525,330848,204
742,West Bengal,Kalimpong,279917,178338,101579,140615,139254,48
743,West Bengal,Kolkata,7049100,4625847,2423253,3930648,3117149,1303
744,West Bengal,Malda,1853834,1403211,450623,966452,886817,565
745,West Bengal,Murshidabad,3040307,2260853,779454,1610979,1428848,480
746,West Bengal,Nadia,2511164,1821395,689769,1224507,1286250,407
747,West Bengal,Purba Medinipur,1552938,1091586,461352,733795,818959,184
748,West Bengal,North 24 Parganas,6119545,4404067,1715478,3207670,2910725,1150
749,West Bengal,Paschim Medinipur,2276272,1594951,681321,1168827,1107166,279
750,West Bengal,Purba Medinipur,2167432,1529459,637973,899663,1267439,330
751,West Bengal,Purulia,1403533,1031151,372382,726202,677106,225
752,West Bengal,Birbhum,856887,631106,225781,418206,438532,149
753,West Bengal,South 24 Parganas,3002373,2128306,874067,1563639,1438255,479
754,West Bengal,Uttar Dinajpur,1177404,865778,311626,636489,540661,254
755,West Bengal,Paschim Bardhaman,1913759,1421287,492472,1020206,893117,436
